state_name,county_name,state_fips,county_fips,age_adjusted_percent,age_adjusted_percent_sd,age_adjusted_percent_95l,age_adjusted_percent_p5u,est_percent,percent_sd,percent_95l,percent_95u,estimated_total,estimated_total_sd,estimated_total_95l,estimated_total_95h,v1,v2,obesity_bin,obesity_category
"ALASKA","Aleutians East Borough","02","013",28.6,4.8,20.1,39.1,28.4,4.9,19.8,39.3,690,119,481,954,"",,3,2
"ALASKA","Aleutians West Census Area","02","016",30.2,4.5,22.3,39.8,30,4.6,22,39.9,1169,179,855,1553,"",,4,4
"ALASKA","Anchorage Municipality","02","020",26.6,1.5,23.6,29.6,26.5,1.5,23.4,29.5,52590,3080,46530,58630,"",,2,1
"ALASKA","Bethel Census Area","02","050",32.1,2.9,26.5,38.2,31.9,2.9,26.3,37.8,3254,297,2684,3861,"",,4,5
"ALASKA","Bristol Bay Borough","02","060",32.2,5.9,22,45.1,32.6,6,22.3,45.9,231,42,158,325,"",,4,5
"ALASKA","Denali Borough","02","068",29.1,4.9,20.4,39.5,29.8,5,21,40.5,431,72,303,585,"",,3,3
"ALASKA","Dillingham Census Area","02","070",38.3,5.1,29,49.1,38.5,5.1,29.3,49.4,1236,165,940,1586,"",,6,5
"ALASKA","Fairbanks North Star Borough","02","090",25.8,1.4,23.3,28.6,25.5,1.4,22.9,28.3,17400,936,15610,19250,"",,2,0
"ALASKA","Haines Borough","02","100",28.7,4.9,20.3,39.4,29.4,4.9,20.7,40.1,528,88,372,720,"",,3,2
"ALASKA","Hoonah-Angoon Census Area","02","232",30.8,4.7,22.4,41,30.6,4.8,22.2,40.9,296,46,214,395,"",,4,4
"ALASKA","Juneau City and Borough","02","110",26.5,2.1,22.6,30.9,26.7,2.1,22.8,31,6210,483,5300,7208,"",,2,1
"ALASKA","Kenai Peninsula Borough","02","122",29.3,1.7,26.2,32.8,29.9,1.7,26.8,33.4,11830,667,10610,13190,"",,3,3
"ALASKA","Ketchikan Gateway Borough","02","130",33.8,3.1,28.2,40.1,34,3,28.5,40.2,3301,293,2760,3901,"",,5,5
"ALASKA","Kodiak Island Borough","02","150",26,3.1,20.4,32.3,26.2,3.1,20.5,32.5,2365,280,1853,2939,"",,2,0
"ALASKA","Lake and Peninsula Borough","02","164",33.9,5.9,23.7,46.5,34.3,6,23.9,47,342,59,238,468,"",,5,5
"ALASKA","Matanuska-Susitna Borough","02","170",27.9,2.4,23.5,32.9,27.9,2.4,23.4,32.8,17120,1478,14370,20140,"",,3,2
"ALASKA","Nome Census Area","02","180",32.8,3.9,25.8,41,33,3.9,25.9,41.2,1914,225,1505,2396,"",,5,5
"ALASKA","North Slope Borough","02","185",37.6,5.2,28.4,48.4,37.7,5.2,28.5,49,1547,215,1167,2007,"",,6,5
"ALASKA","Northwest Arctic Borough","02","188",31.3,4,24.1,39.9,31.3,4.1,24,39.9,1412,184,1081,1801,"",,4,4
"ALASKA","Prince of Wales-Outer Ketchikan Census Area","02","201",33.6,4.6,25.4,43.5,33.8,4.6,25.5,43.5,1404,193,1058,1810,"",,5,5
"ALASKA","Sitka City and Borough","02","220",30.2,3.8,23.2,38.3,30.5,3.9,23.5,38.7,2033,257,1564,2583,"",,4,4
"ALASKA","Southeast Fairbanks Census Area","02","240",31.3,4.7,23,41.1,31.4,4.8,23,41.3,1460,221,1067,1920,"",,4,4
"ALASKA","Valdez-Cordova Census Area","02","261",32.1,3.7,25.3,39.8,32.9,3.8,25.9,40.9,2302,265,1815,2862,"",,4,5
"ALASKA","Wade Hampton Census Area","02","270",32.6,4.3,24.8,41.6,32.5,4.4,24.6,41.7,1368,183,1034,1752,"",,5,5
"ALASKA","Wrangell-Petersburg Census Area","02","280",25.3,3.6,18.8,33,25.9,3.6,19.3,33.5,1164,163,869,1504,"",,2,0
"ALASKA","Yakutat City and Borough","02","282",28.8,5.5,19.1,40.5,29.2,5.5,19.5,41.1,149,28,99,209,"",,3,2
"ALASKA","Yukon-Koyukuk Census Area","02","290",31.9,4.1,24.6,40.6,32.2,4.1,24.8,40.8,1283,162,990,1627,"",,4,5
"IDAHO","Ada County","16","001",21.8,1.2,19.5,24.2,22,1.2,19.7,24.4,59810,3223,53500,66270,"",,1,0
"IDAHO","Adams County","16","003",29,5.1,20.5,40,29.4,4.9,20.9,40.3,801,134,570,1097,"",,3,2
"IDAHO","Bannock County","16","005",28.9,1.8,25.5,32.4,29.2,1.8,25.8,32.8,16070,979,14220,18030,"",,3,2
"IDAHO","Bear Lake County","16","007",22.9,3.8,16.2,31.3,23.2,3.8,16.6,31.6,958,155,684,1302,"",,1,0
"IDAHO","Benewah County","16","009",26.8,4,19.6,35.2,27.2,4,20.1,35.6,1884,274,1391,2466,"",,2,1
"IDAHO","Bingham County","16","011",29.3,2.3,25,34,29.6,2.3,25.4,34.3,8566,657,7341,9913,"",,3,3
"IDAHO","Blaine County","16","013",15.1,2.1,11.4,19.4,15.4,2.1,11.7,19.7,2522,339,1906,3223,"",,1,0
"IDAHO","Boise County","16","015",27.8,4.5,19.9,37.5,28.9,4.6,20.7,38.8,1659,266,1190,2232,"",,3,2
"IDAHO","Bonner County","16","017",21.3,2,17.5,25.5,21.7,2,18,25.7,6848,617,5685,8128,"",,1,0
"IDAHO","Bonneville County","16","019",25.6,1.6,22.5,28.9,25.9,1.6,22.7,29.2,17290,1083,15200,19510,"",,2,0
"IDAHO","Boundary County","16","021",24.7,3.7,18.3,32.7,25.2,3.7,18.7,33.1,2031,297,1510,2664,"",,1,0
"IDAHO","Butte County","16","023",26.5,4.8,18.3,36.9,27.2,4.7,19,37.4,538,93,374,738,"",,2,1
"IDAHO","Camas County","16","025",25,5,16.5,36,25.2,5,16.7,36,218,43,144,311,"",,2,0
"IDAHO","Canyon County","16","027",29.5,1.6,26.5,32.7,29.5,1.6,26.5,32.8,35960,1937,32300,39910,"",,3,3
"IDAHO","Caribou County","16","029",23.8,3.9,17,32.4,24.3,3.9,17.5,32.6,1182,188,851,1584,"",,1,0
"IDAHO","Cassia County","16","031",29.6,3.1,23.9,36,29.9,3,24.3,36.2,4186,426,3406,5068,"",,3,3
"IDAHO","Clark County","16","033",26.6,5.7,17.1,39.3,26.9,5.7,17.5,39.4,167,35,108,244,"",,2,1
"IDAHO","Clearwater County","16","035",26.7,3.4,20.5,34,27,3.3,21,34.1,1778,214,1386,2246,"",,2,1
"IDAHO","Custer County","16","037",24.9,4.4,17.4,34.3,25.8,4.4,18.2,35.1,864,147,609,1177,"",,1,0
"IDAHO","Elmore County","16","039",29.3,3.7,22.7,36.9,29.5,3.8,22.7,37.3,5840,745,4503,7398,"",,3,3
"IDAHO","Franklin County","16","041",28.9,4.2,21.6,38.1,29,4.1,21.7,38.1,2341,335,1754,3073,"",,3,2
"IDAHO","Fremont County","16","043",21.3,3.4,15.2,28.7,21.5,3.4,15.4,28.9,1800,287,1290,2417,"",,1,0
"IDAHO","Gem County","16","045",29.5,3.5,23,36.8,29.5,3.4,23.2,36.4,3579,410,2820,4425,"",,3,3
"IDAHO","Gooding County","16","047",27.4,3.5,21.3,34.9,27.5,3.4,21.5,34.8,2711,335,2115,3429,"",,2,1
"IDAHO","Idaho County","16","049",29.1,2.6,24.3,34.4,29.3,2.4,24.7,34.1,3501,287,2957,4079,"",,3,3
"IDAHO","Jefferson County","16","051",27.5,2.8,22.2,33.3,27.8,2.8,22.4,33.7,4344,444,3504,5264,"",,3,1
"IDAHO","Jerome County","16","053",27.4,3.3,21.3,34.5,27.7,3.3,21.6,34.9,3778,455,2940,4754,"",,2,1
"IDAHO","Kootenai County","16","055",24.4,1.6,21.5,27.6,24.5,1.5,21.6,27.5,24570,1510,21690,27620,"",,1,0
"IDAHO","Latah County","16","057",23.9,2,20.2,28,24,2,20.2,28.1,6295,534,5296,7373,"",,1,0
"IDAHO","Lemhi County","16","059",25.4,4,18.3,33.9,25.7,3.8,18.9,33.9,1560,232,1147,2054,"",,2,0
"IDAHO","Lewis County","16","061",27.5,4.3,19.9,36.7,27.4,4.1,20.2,36.2,748,112,552,987,"",,3,1
"IDAHO","Lincoln County","16","063",29.3,5.2,20.4,40.6,29.6,5.2,20.6,41,894,158,623,1239,"",,3,3
"IDAHO","Madison County","16","065",24.8,2.6,19.9,30.3,24.3,2.7,19.4,29.9,5101,565,4060,6274,"",,1,0
"IDAHO","Minidoka County","16","067",29.8,3.4,23.6,37,30,3.3,24,36.8,3839,424,3069,4707,"",,3,3
"IDAHO","Nez Perce County","16","069",29.9,2.1,25.9,34.3,29.7,2,26,33.7,8723,576,7646,9918,"",,3,3
"IDAHO","Oneida County","16","071",26.3,4.7,18.1,36.6,26.7,4.7,18.4,36.8,786,138,542,1084,"",,2,1
"IDAHO","Owyhee County","16","073",26.2,4.4,18.7,35.8,26.5,4.4,18.9,36,1994,330,1423,2711,"",,2,0
"IDAHO","Payette County","16","075",27.2,3.1,21.5,33.6,27.4,3,21.8,33.7,4411,491,3511,5430,"",,2,1
"IDAHO","Power County","16","077",26.3,4.3,18.8,35.7,26.8,4.3,19.2,36.4,1400,227,1004,1900,"",,2,1
"IDAHO","Shoshone County","16","079",29.6,3.6,23.2,37,29.8,3.4,23.7,36.8,2992,340,2378,3694,"",,3,3
"IDAHO","Teton County","16","081",20.2,3.4,14.2,27.5,20.5,3.5,14.3,28.1,1218,211,848,1666,"",,1,0
"IDAHO","Twin Falls County","16","083",25.7,1.9,22.2,29.5,25.7,1.8,22.3,29.3,13480,959,11670,15380,"",,2,0
"IDAHO","Valley County","16","085",26.5,4.5,18.8,36.4,27.4,4.6,19.5,37.4,1869,313,1333,2559,"",,2,1
"IDAHO","Washington County","16","087",25.3,3.8,18.6,33.4,25.2,3.7,18.7,33,1899,276,1405,2483,"",,2,0
"ILLINOIS","Adams County","17","001",26.5,2.4,22.1,31.3,26.5,2.3,22.2,31.1,13210,1129,11090,15490,"",,2,1
"ILLINOIS","Alexander County","17","003",28.3,2.5,23.7,33.8,28.2,2.4,23.8,33.2,1694,143,1430,1996,"",,3,2
"ILLINOIS","Bond County","17","005",28,2.7,23.2,33.6,27.9,2.6,23.2,33.4,3861,363,3205,4612,"",,3,2
"ILLINOIS","Boone County","17","007",26.9,2.5,22.3,32.2,27,2.6,22.3,32.4,10330,979,8549,12400,"",,2,1
"ILLINOIS","Brown County","17","009",28.2,2.8,23,34.2,28.1,2.9,22.9,34.4,1519,158,1238,1859,"",,3,2
"ILLINOIS","Bureau County","17","011",26.6,2.5,22.1,31.8,26.7,2.4,22.3,31.6,7010,619,5865,8292,"",,2,1
"ILLINOIS","Calhoun County","17","013",26.8,2.8,21.8,32.7,26.7,2.6,22,32.4,1059,105,873,1283,"",,2,1
"ILLINOIS","Carroll County","17","015",26.8,2.7,22,32.4,26.7,2.5,22.2,31.9,3294,305,2735,3935,"",,2,1
"ILLINOIS","Cass County","17","017",27.5,2.7,22.5,33.2,27.6,2.6,22.8,33.1,2750,263,2265,3297,"",,3,1
"ILLINOIS","Champaign County","17","019",26.9,2,23.3,31,26.8,2.1,23,31,37150,2844,31890,43000,"",,2,1
"ILLINOIS","Christian County","17","021",27.1,2.5,22.5,32.3,27.1,2.4,22.6,32.1,7062,626,5901,8363,"",,2,1
"ILLINOIS","Clark County","17","023",27.4,2.7,22.4,33,27.4,2.6,22.6,32.9,3478,329,2869,4173,"",,2,1
"ILLINOIS","Clay County","17","025",27.4,2.7,22.6,33.2,27.4,2.6,22.7,32.7,2842,270,2362,3398,"",,2,1
"ILLINOIS","Clinton County","17","027",27.6,2.5,23.2,32.7,27.6,2.4,23.2,32.5,7658,670,6438,9030,"",,3,1
"ILLINOIS","Coles County","17","029",26.8,2.5,22.4,32.2,26.6,2.5,22.2,32,10380,969,8641,12470,"",,2,1
"ILLINOIS","Cook County","17","031",24.9,.7,23.5,26.4,25.2,.7,23.7,26.6,961600,27560,907700,1016000,"",,1,0
"ILLINOIS","Crawford County","17","033",27.3,2.6,22.5,32.8,27.2,2.5,22.5,32.4,4141,383,3437,4943,"",,2,1
"ILLINOIS","Cumberland County","17","035",27.3,2.8,22.3,33.2,27.4,2.7,22.6,33.2,2228,221,1833,2698,"",,2,1
"ILLINOIS","De Witt County","17","039",26.7,2.6,21.9,32.3,26.8,2.5,22.2,32.1,3288,312,2718,3943,"",,2,1
"ILLINOIS","DeKalb County","17","037",26.7,2.3,22.6,31.5,26.6,2.3,22.3,31.5,20220,1777,16970,23980,"",,2,1
"ILLINOIS","Douglas County","17","041",28.3,2.8,23.3,34.3,28.3,2.7,23.4,34.1,4001,377,3310,4809,"",,3,2
"ILLINOIS","DuPage County","17","043",24.1,1.3,21.5,26.8,24.6,1.3,22.1,27.3,165900,8897,148700,183700,"",,1,0
"ILLINOIS","Edgar County","17","045",27.5,2.6,22.7,33.2,27.5,2.5,22.8,32.8,3951,365,3272,4715,"",,3,1
"ILLINOIS","Edwards County","17","047",27.1,2.8,22,33.1,27.2,2.7,22.4,32.8,1356,133,1114,1635,"",,2,1
"ILLINOIS","Effingham County","17","049",27,2.6,22.3,32.6,27.1,2.5,22.6,32.3,6726,628,5600,8030,"",,2,1
"ILLINOIS","Fayette County","17","051",26.9,2.6,22.3,32.4,26.9,2.5,22.4,32.2,4275,397,3561,5117,"",,2,1
"ILLINOIS","Ford County","17","053",27.4,2.7,22.5,33.1,27.5,2.6,22.8,32.9,2884,270,2394,3453,"",,2,1
"ILLINOIS","Franklin County","17","055",27.1,2.6,22.4,32.6,27,2.5,22.6,32.2,8088,740,6760,9654,"",,2,1
"ILLINOIS","Fulton County","17","057",27.4,2.5,22.9,32.6,27.4,2.4,23.1,32.4,7783,681,6558,9188,"",,2,1
"ILLINOIS","Gallatin County","17","059",26.7,2.8,21.8,32.6,26.7,2.6,22,32.1,1233,120,1018,1483,"",,2,1
"ILLINOIS","Greene County","17","061",28.1,2.7,23.2,33.8,28.2,2.6,23.4,33.7,2867,267,2377,3426,"",,3,2
"ILLINOIS","Grundy County","17","063",28.2,2.6,23.5,33.8,28.4,2.6,23.7,34.1,9904,919,8250,11860,"",,3,2
"ILLINOIS","Hamilton County","17","065",27.1,2.7,22.1,32.8,27,2.6,22.3,32.4,1715,163,1412,2053,"",,2,1
"ILLINOIS","Hancock County","17","067",26.7,2.6,22,32,26.6,2.4,22.2,31.6,3806,345,3168,4521,"",,2,1
"ILLINOIS","Hardin County","17","069",27,2.8,22,32.9,27.2,2.7,22.4,32.9,937,93,772,1133,"",,2,1
"ILLINOIS","Henderson County","17","071",27.6,2.8,22.6,33.6,27.7,2.7,22.8,33.4,1643,160,1353,1980,"",,3,1
"ILLINOIS","Henry County","17","073",26.8,2.5,22.2,31.9,27,2.4,22.6,31.9,10120,886,8480,11950,"",,2,1
"ILLINOIS","Iroquois County","17","075",27.8,2.6,23,33.3,27.7,2.5,23.2,32.9,6334,568,5291,7506,"",,3,2
"ILLINOIS","Jackson County","17","077",27.2,2.3,22.9,32.1,26.9,2.4,22.5,32,11920,1073,9969,14190,"",,2,1
"ILLINOIS","Jasper County","17","079",26.9,2.7,21.9,32.6,27.1,2.6,22.2,32.5,1979,189,1626,2378,"",,2,1
"ILLINOIS","Jefferson County","17","081",27.9,2.5,23.3,33.1,27.9,2.4,23.5,33,8465,740,7117,10010,"",,3,2
"ILLINOIS","Jersey County","17","083",26.5,2.6,21.8,31.8,26.6,2.5,22.1,31.9,4532,428,3753,5419,"",,2,1
"ILLINOIS","Jo Daviess County","17","085",26.4,2.5,21.8,31.6,26.3,2.4,22,31.4,4554,412,3800,5430,"",,2,1
"ILLINOIS","Johnson County","17","087",27.6,2.6,22.8,33.1,27.4,2.6,22.5,32.9,3007,290,2471,3615,"",,3,1
"ILLINOIS","Kane County","17","089",27.6,1.8,24.2,31.3,27.9,1.8,24.4,31.6,96310,6324,84350,109300,"",,3,1
"ILLINOIS","Kankakee County","17","091",28.1,2.3,24,32.9,28.2,2.2,24.1,32.8,22740,1799,19450,26480,"",,3,2
"ILLINOIS","Kendall County","17","093",24.8,2.1,20.8,29.3,24.9,2.3,20.7,29.6,17660,1599,14710,21040,"",,1,0
"ILLINOIS","Knox County","17","095",28.3,2.5,23.7,33.6,28.1,2.4,23.8,33.1,11160,952,9448,13130,"",,3,2
"ILLINOIS","Lake County","17","097",24.4,1.5,21.7,27.4,24.8,1.5,22.1,27.8,122600,7268,109100,137600,"",,1,0
"ILLINOIS","LaSalle County","17","099",27,2.2,22.8,31.6,27.1,2.2,23,31.6,22700,1814,19290,26450,"",,2,1
"ILLINOIS","Lawrence County","17","101",27.3,2.6,22.7,32.7,27.1,2.5,22.6,32.2,3585,329,2986,4266,"",,2,1
"ILLINOIS","Lee County","17","103",27,2.5,22.5,32.2,27,2.4,22.7,32.2,7260,645,6099,8645,"",,2,1
"ILLINOIS","Livingston County","17","105",27.3,2.4,22.9,32.3,27.4,2.4,23.1,32.4,7661,658,6472,9050,"",,2,1
"ILLINOIS","Logan County","17","107",28.8,2.6,24,34.4,28.8,2.6,24.1,34.3,6498,586,5428,7722,"",,3,2
"ILLINOIS","Macon County","17","115",29.5,2.5,25.2,34.7,29.7,2.3,25.5,34.7,23770,1881,20450,27780,"",,3,3
"ILLINOIS","Macoupin County","17","117",28.5,2.7,23.8,34.2,28.6,2.6,24,34,10370,928,8707,12330,"",,3,2
"ILLINOIS","Madison County","17","119",28.1,1.9,24.5,32.1,28.3,1.9,24.8,32.2,56250,3777,49210,63950,"",,3,2
"ILLINOIS","Marion County","17","121",27.2,2.5,22.8,32.5,27.2,2.3,23,32.2,8008,689,6753,9453,"",,2,1
"ILLINOIS","Marshall County","17","123",27,2.7,22.1,32.8,27.1,2.5,22.3,32.5,2608,245,2147,3126,"",,2,1
"ILLINOIS","Mason County","17","125",28.5,2.9,23.3,34.4,28.5,2.7,23.6,34.3,3267,311,2703,3925,"",,3,2
"ILLINOIS","Massac County","17","127",27.9,2.7,23,33.6,27.8,2.6,23.1,33.2,3140,291,2612,3756,"",,3,2
"ILLINOIS","McDonough County","17","109",28.3,2.6,23.6,33.6,27.9,2.6,23.2,33.2,6860,629,5703,8176,"",,3,2
"ILLINOIS","McHenry County","17","111",26,1.9,22.5,29.9,26.5,1.9,22.9,30.4,59710,4280,51710,68450,"",,2,0
"ILLINOIS","McLean County","17","113",27.8,2.1,23.8,32.2,27.8,2.2,23.8,32.3,33100,2607,28290,38530,"",,3,2
"ILLINOIS","Menard County","17","129",26.9,2.7,22,32.6,27.3,2.6,22.4,32.9,2557,247,2101,3082,"",,2,1
"ILLINOIS","Mercer County","17","131",27.1,2.6,22.3,32.5,27.4,2.5,22.8,32.7,3452,319,2872,4111,"",,2,1
"ILLINOIS","Monroe County","17","133",26.6,2.5,22,31.8,26.8,2.5,22.3,32,6563,607,5465,7831,"",,2,1
"ILLINOIS","Montgomery County","17","135",26.4,2.5,21.9,31.6,26.3,2.4,21.9,31.3,6013,545,5009,7148,"",,2,1
"ILLINOIS","Morgan County","17","137",27.2,2.5,22.7,32.4,27.3,2.4,23,32.3,7291,651,6119,8624,"",,2,1
"ILLINOIS","Moultrie County","17","139",26.8,2.7,21.9,32.4,26.8,2.6,22,32,2874,276,2361,3440,"",,2,1
"ILLINOIS","Ogle County","17","141",26.7,2.5,22.3,31.8,27,2.4,22.7,32,11010,987,9242,13060,"",,2,1
"ILLINOIS","Peoria County","17","143",27.1,2,23.4,31.2,27.2,2,23.6,31.2,36080,2591,31280,41350,"",,2,1
"ILLINOIS","Perry County","17","145",27.8,2.7,23,33.7,27.8,2.6,23.1,33.5,4795,454,3984,5780,"",,3,2
"ILLINOIS","Piatt County","17","147",27.2,2.7,22.3,33.1,27.4,2.6,22.7,33,3423,324,2832,4114,"",,2,1
"ILLINOIS","Pike County","17","149",26.5,2.6,21.7,32,26.2,2.5,21.7,31.4,3323,312,2753,3971,"",,2,1
"ILLINOIS","Pope County","17","151",27.5,2.9,22.3,33.6,27.3,2.7,22.4,33,876,87,717,1058,"",,3,1
"ILLINOIS","Pulaski County","17","153",28,2.5,23.3,33.2,28.2,2.4,23.7,33.1,1323,113,1113,1554,"",,3,2
"ILLINOIS","Putnam County","17","155",26.9,2.8,21.8,32.8,27.2,2.7,22.3,32.8,1248,125,1023,1507,"",,2,1
"ILLINOIS","Randolph County","17","157",27.3,2.4,22.9,32.4,27.3,2.4,22.9,32.3,6905,606,5793,8156,"",,2,1
"ILLINOIS","Richland County","17","159",28.6,2.7,23.6,34.5,28.4,2.6,23.7,33.8,3313,302,2767,3944,"",,3,2
"ILLINOIS","Rock Island County","17","161",26.9,2.1,23,31.2,27,2,23.3,31.1,29470,2190,25390,33920,"",,2,1
"ILLINOIS","Saline County","17","165",26.9,2.5,22.3,32.2,26.7,2.4,22.4,31.8,5155,462,4313,6134,"",,2,1
"ILLINOIS","Sangamon County","17","167",28.3,2.1,24.4,32.8,28.8,2.1,24.9,33.1,41730,2997,36130,47940,"",,3,2
"ILLINOIS","Schuyler County","17","169",26.5,2.7,21.6,32.2,26.4,2.6,21.8,31.8,1415,137,1166,1706,"",,2,1
"ILLINOIS","Scott County","17","171",26.9,2.8,21.8,32.9,27.2,2.7,22.3,32.8,1065,105,875,1288,"",,2,1
"ILLINOIS","Shelby County","17","173",26.8,2.6,22.2,32.2,26.9,2.5,22.4,32,4395,403,3668,5230,"",,2,1
"ILLINOIS","St. Clair County","17","163",28.2,2,24.6,32.4,28.4,1.9,24.9,32.5,53450,3612,46760,61030,"",,3,2
"ILLINOIS","Stark County","17","175",26.9,2.8,21.9,32.7,26.8,2.6,22.1,32.3,1255,122,1037,1513,"",,2,1
"ILLINOIS","Stephenson County","17","177",28.6,2.5,24,33.9,28.6,2.4,24.3,33.6,9948,835,8428,11680,"",,3,2
"ILLINOIS","Tazewell County","17","179",26.2,2.2,22.1,30.8,26.4,2.2,22.4,30.8,26050,2130,22080,30380,"",,2,0
"ILLINOIS","Union County","17","181",27.7,2.8,22.7,33.7,27.7,2.6,22.9,33.4,3830,366,3174,4620,"",,3,1
"ILLINOIS","Vermilion County","17","183",27.2,2.2,23.1,31.8,27.1,2.1,23.1,31.6,16110,1267,13730,18790,"",,2,1
"ILLINOIS","Wabash County","17","185",26.9,2.7,22.1,32.7,27.1,2.6,22.4,32.6,2466,237,2044,2966,"",,2,1
"ILLINOIS","Warren County","17","187",27,2.6,22.3,32.7,27,2.5,22.5,32.3,3537,326,2943,4228,"",,2,1
"ILLINOIS","Washington County","17","189",27.6,2.7,22.6,33.3,27.9,2.6,23.1,33.4,3082,288,2556,3690,"",,3,1
"ILLINOIS","Wayne County","17","191",27.8,2.7,22.8,33.5,27.7,2.6,23,33.1,3476,326,2885,4154,"",,3,2
"ILLINOIS","White County","17","193",27.5,2.7,22.7,33.3,27.5,2.5,22.9,32.8,3120,288,2598,3734,"",,3,1
"ILLINOIS","Whiteside County","17","195",26.3,2.4,22,31.3,26.3,2.3,22.3,31.1,11630,1003,9828,13710,"",,2,1
"ILLINOIS","Will County","17","197",28.5,1.7,25.3,31.8,28.8,1.7,25.6,32.3,135500,7981,120400,152000,"",,3,2
"ILLINOIS","Williamson County","17","199",28.1,2.5,23.7,33.5,28.1,2.4,23.8,33.3,13770,1180,11670,16340,"",,3,2
"ILLINOIS","Winnebago County","17","201",27.8,1.9,24.2,31.9,27.9,1.9,24.3,31.8,60800,4102,52980,69410,"",,3,2
"ILLINOIS","Woodford County","17","203",27.2,2.6,22.5,32.6,27.5,2.5,22.9,32.8,7810,713,6503,9291,"",,2,1
"INDIANA","Adams County","18","001",29.3,2.7,24.3,34.8,29.5,2.6,24.6,35,6774,605,5653,8033,"",,3,3
"INDIANA","Allen County","18","003",29.7,1.5,26.9,32.8,30.2,1.5,27.4,33.2,74710,3707,67700,82130,"",,3,3
"INDIANA","Bartholomew County","18","005",29.3,2.3,25,34.2,29.5,2.3,25.3,34.2,16120,1243,13840,18710,"",,3,3
"INDIANA","Benton County","18","007",28.8,2.8,23.6,34.6,29.2,2.8,24.2,34.8,1855,175,1535,2210,"",,3,2
"INDIANA","Blackford County","18","009",28.6,2.6,23.8,34,29,2.5,24.3,34.1,2880,250,2416,3392,"",,3,2
"INDIANA","Boone County","18","011",30,2.6,25.2,35.6,30.5,2.6,25.7,36,12040,1034,10150,14230,"",,4,3
"INDIANA","Brown County","18","013",27.7,2.6,22.8,33.3,28.6,2.6,23.8,34.2,3288,298,2734,3922,"",,3,1
"INDIANA","Carroll County","18","015",29.5,2.7,24.5,35.2,30,2.7,25.1,35.6,4463,400,3733,5306,"",,3,3
"INDIANA","Cass County","18","017",29.4,2.6,24.6,34.7,29.9,2.5,25.2,35.1,8531,721,7186,10000,"",,3,3
"INDIANA","Clark County","18","019",30.1,2.4,25.8,35.1,30.5,2.3,26.2,35.3,24030,1841,20640,27790,"",,4,3
"INDIANA","Clay County","18","021",30.5,2.8,25.3,36.4,30.7,2.7,25.7,36.5,6048,538,5059,7180,"",,4,4
"INDIANA","Clinton County","18","023",28.5,2.6,23.7,33.9,28.7,2.5,24.1,34.1,7028,616,5906,8350,"",,3,2
"INDIANA","Crawford County","18","025",29.6,2.9,24.4,35.8,30.2,2.9,25,36.2,2397,227,1984,2869,"",,3,3
"INDIANA","Daviess County","18","027",29.2,2.7,24.3,34.8,29.7,2.6,24.8,35.2,6210,553,5193,7365,"",,3,3
"INDIANA","Dearborn County","18","029",28.6,2.5,24.1,33.9,29.4,2.5,24.8,34.7,10740,923,9044,12680,"",,3,2
"INDIANA","Decatur County","18","031",29.6,2.7,24.7,35,29.9,2.6,25.1,35.2,5382,475,4512,6344,"",,3,3
"INDIANA","DeKalb County","18","033",30.3,2.6,25.5,35.8,30.7,2.6,25.9,36.1,9234,786,7799,10860,"",,4,4
"INDIANA","Delaware County","18","035",31,2.3,26.8,35.6,31,2.2,26.9,35.5,26420,1910,22940,30320,"",,4,4
"INDIANA","Dubois County","18","037",28.9,2.6,24.2,34.3,29.2,2.5,24.7,34.5,8858,765,7475,10450,"",,3,2
"INDIANA","Elkhart County","18","039",28.9,1.9,25.3,32.9,29.2,1.9,25.6,33.2,40360,2678,35350,45920,"",,3,2
"INDIANA","Fayette County","18","041",29.9,2.7,25,35.6,30.2,2.6,25.4,35.7,5507,476,4629,6500,"",,3,3
"INDIANA","Floyd County","18","043",28.8,2.4,24.3,33.8,29.5,2.4,25,34.4,16040,1303,13570,18720,"",,3,2
"INDIANA","Fountain County","18","045",28.4,2.5,23.8,33.5,28.7,2.4,24.4,33.6,3643,300,3091,4262,"",,3,2
"INDIANA","Franklin County","18","047",28.1,2.6,23.3,33.6,28.6,2.6,23.8,34.1,4875,435,4060,5807,"",,3,2
"INDIANA","Fulton County","18","049",29.2,2.5,24.4,34.4,29.5,2.4,24.9,34.4,4436,366,3735,5174,"",,3,3
"INDIANA","Gibson County","18","051",27.6,2.4,23.1,32.6,28,2.4,23.5,32.8,6791,578,5715,7976,"",,3,1
"INDIANA","Grant County","18","053",28.7,2.3,24.4,33.3,29.1,2.2,25,33.6,14810,1110,12700,17070,"",,3,2
"INDIANA","Greene County","18","055",29,2.7,24.2,34.7,29.5,2.6,24.8,35.1,7176,639,6032,8535,"",,3,2
"INDIANA","Hamilton County","18","057",24.1,1.7,20.9,27.6,24.4,1.7,21.2,28,45200,3217,39160,51690,"",,1,0
"INDIANA","Hancock County","18","059",27.7,2.3,23.5,32.4,28.2,2.3,24.1,32.9,13820,1107,11780,16090,"",,3,1
"INDIANA","Harrison County","18","061",29.3,2.7,24.4,34.9,29.8,2.6,24.9,35.3,8231,725,6873,9755,"",,3,3
"INDIANA","Hendricks County","18","063",28.5,2.1,24.5,33,28.9,2.2,24.8,33.4,28420,2141,24430,32860,"",,3,2
"INDIANA","Henry County","18","065",29.5,2.5,24.8,34.7,30,2.5,25.4,35,10740,880,9074,12520,"",,3,3
